ファイル,ASIN,商品名,検証状態,代替,確認用URL,掲載箇所数,種別,Amazon上の実際の商品名,在庫,検証メモ,検証日,検証方法
data/products.js | shindan/equipment.js | species/three-toed-box-template.html | substrate-best10.html | substrate-review.html,B005J94WEM,ジクラ 万能ヤシガラマット 細目 8L,OK,,https://www.amazon.co.jp/dp/B005J94WEM/,5,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ジクラ Zicra 爬虫類専用万能ヤシガラマット 細目 8L,,2026-09-08 修正済み。「ヤシガラ（ブリック）」→「ジクラ 万能ヤシガラマット 細目 8L」。楽天が1L商品に紐づいていたため search へ降格し再照合待ち,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
substrate-best10.html,B005J951MY,万能ヤシガラマット 粗目 6L,OK,,https://www.amazon.co.jp/dp/B005J951MY/,1,data-asin（JSで/dp/へ展開）,ジクラ Zicra アギト 爬虫類専用万能ヤシガラマット 粗目 6L,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
dish-best10.html,B005SYPZXU,ウォーターディッシュ XL PT2804（岩型・特大）,OK,,https://www.amazon.co.jp/dp/B005SYPZXU/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA ウォーターディッシュ XL PT2804,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B0075LQ5EM,GEX エキゾテラ デザートサンド レッド 3kg（砂漠砂・装飾用）,OK,,https://www.amazon.co.jp/dp/B0075LQ5EM/,1,data-asin（JSで/dp/へ展開）,EXO TERRA デザートサンド レッド 3kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B00A8RI8TK,レプティサン 5.0 UVB 13W,OK,,https://www.amazon.co.jp/dp/B00A8RI8TK/,1,data-asin（JSで/dp/へ展開）,Zoo Med レプティサン 5.0UVB 13W FS-C5ME,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B00AQU8HAO,ズーメッド レプティサン T5 HO 10.0 24W（直管・高出力）,OK,,https://www.amazon.co.jp/dp/B00AQU8HAO/,1,data-asin（JSで/dp/へ展開）,ZOOMED レプティサン10.0UVB T5 HO ハイアウトプットリニアランプ 24W OS5-24（交換球）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
cage-best10.html | cage-review.html,B00B34U2JQ,パンテオン ホワイト WH6045（軽量中大型ケージ）,OK,,https://www.amazon.co.jp/dp/B00B34U2JQ/,2,HTML内の直リンク / data-asin（JSで/dp/へ展開）,三晃商会 SANKO パンテオン ホワイト WH6045,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B00BBR33ZK,ビバリア リクガメフード 354g,OK,,https://www.amazon.co.jp/dp/B00BBR33ZK/,1,data-asin（JSで/dp/へ展開）,ビバリア リクガメフード 354g,,2026-09-08 修正済み。見出しのブランドを「レップカル」→「ビバリア」に是正,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00BBRG4YW,みどり商会 暖突 Lサイズ,OK,,https://www.amazon.co.jp/dp/B00BBRG4YW/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,みどり商会 暖突 Lサイズ 57W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | uvb-light-best10.html,B00BF91PYA,GEX EXOTERRA レプタイルUVB150 26W,OK,,https://www.amazon.co.jp/dp/B00BF91PYA/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX エキゾテラ レプタイルUVB150 26W PT2189,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B00BF91PYK,GEX エキゾテラ グラステラリウム 4530（ヤマガメ・小型種向け）,OK,,https://www.amazon.co.jp/dp/B00BF91PYK/,1,data-asin（JSで/dp/へ展開）,GEX エキゾテラ グラステラリウム 4530,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | uvb-light-best10.html,B00BF91Q1W,GEX EXOTERRA レプタイルUVB100 26W,OK,,https://www.amazon.co.jp/dp/B00BF91Q1W/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA レプタイルUVB100 26W PT2187,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
cage-review.html,B00BF91SQK,GEX エキゾテラ グラステラリウム 6030,OK,,https://www.amazon.co.jp/dp/B00BF91SQK/,1,HTML内の直リンク,GEX エキゾテラ グラステラリウム 6030 PT2604,,実在。サイト側のリンク文言は商品名を示していない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-review.html | data/products.js,B00BF91SU6,GEX EXOTERRA グラステラリウム 9030（ガラス製）,OK,,https://www.amazon.co.jp/dp/B00BF91SU6/,2,HTML内の直リンク / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA グラステラリウム 9030 PT2611（91.5×46.5×33cm）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
dish-best10.html,B00BF91T00,ウォーターディッシュ XS PT2809（岩型・極小）,OK,,https://www.amazon.co.jp/dp/B00BF91T00/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA ウォーターディッシュ XS（W6×D5.5×H3cm）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js,B00BJQ50HC,Fluval FX6 外部フィルター,CAUTION,,https://www.amazon.co.jp/dp/B00BJQ50HC/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Fluval FX6 キャニスターフィルター（400ガロン用）,"¥127,143",商品は一致するが国内価格が極端に高い（並行輸入品）。はじめての方向けに出す価格帯ではない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00BKULMIS,サーモスタット（アナログ）,CAUTION,,https://www.amazon.co.jp/dp/B00BKULMIS/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ニッソー シーパレックス600（電子式サーモスタット）,,サイト表記「サーモスタット（アナログ）」は商品を特定できず、方式表記も実態と異なる,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B00CB8KY78,グラステラリウム 6030（前面ドア・標準）,CAUTION,,https://www.amazon.co.jp/dp/B00CB8KY78/,1,data-asin（JSで/dp/へ展開）,GEX エキゾテラ グラステラリウム 6030,,実在・一致。ただし B00BF91SQK も同じ6030で、同一製品に2つのASINを併用している,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
